,OrderID,StatusID,StudentID,ProductType,ProductID,Price
0,22,86,559,1,1,443
1,23,61,447,0,99,476
2,29,23,885,2,14,372
3,69,70,141,1,54,240
4,26,29,226,2,31,564
5,91,71,627,1,45,800
6,70,1,814,2,91,290
7,26,51,274,1,62,617
8,64,4,276,0,45,618
9,50,69,533,1,12,147
10,62,94,960,0,70,299
11,34,13,130,2,91,898
12,72,52,678,2,38,264
13,59,100,47,1,9,994
14,60,85,871,2,8,704
15,88,36,901,2,70,364
16,95,11,983,1,20,208
17,92,42,130,0,31,567
18,48,42,303,1,68,166
19,65,63,527,0,95,779
20,63,87,169,2,91,681
21,53,31,847,0,5,742
22,36,2,219,2,1,723
23,25,74,453,0,11,694
24,17,9,737,1,99,811
25,76,34,401,0,73,685
26,87,98,883,1,89,933
27,69,93,590,1,49,586
28,26,64,44,1,93,916
29,75,53,275,0,88,225
30,61,90,523,1,31,287
31,45,54,875,2,8,866
32,75,52,30,1,92,142
33,7,100,188,2,71,637
34,84,77,20,2,14,758
35,36,77,583,2,76,500
36,10,14,348,2,55,420
37,11,62,460,1,19,471
38,59,97,592,1,8,575
39,54,97,399,0,22,887
40,35,4,591,0,87,775
41,54,23,923,0,83,513
42,25,3,385,0,14,200
43,18,35,85,0,82,158
44,22,38,706,1,48,445
45,48,64,405,0,66,631
46,78,92,975,0,45,949
47,82,24,311,0,85,701
48,72,19,566,0,88,769
49,61,83,626,0,97,574
50,13,53,76,2,90,266
51,5,39,507,0,97,476
52,99,71,86,2,46,170
53,14,21,941,2,77,946
54,28,87,271,2,48,931
55,48,96,844,0,91,517
56,58,86,756,0,100,964
57,48,84,475,0,19,969
58,25,31,802,2,8,187
59,7,9,179,2,27,984
60,42,27,340,1,73,970
61,96,87,968,1,53,375
62,76,23,349,1,32,349
63,92,72,802,1,3,213
64,95,75,208,2,28,613
65,64,68,198,0,84,842
66,56,96,230,2,86,470
67,61,2,504,2,22,665
68,10,31,622,0,67,522
69,21,30,120,1,97,363
70,19,55,47,1,52,719
71,77,21,227,1,76,310
72,95,42,351,0,59,604
73,43,78,459,2,89,617
74,85,55,721,1,73,631
75,82,74,681,0,47,727
76,22,21,473,1,55,120
77,65,20,416,1,87,553
78,81,63,400,2,78,460
79,70,31,578,1,25,163
80,93,96,22,0,92,979
81,79,36,77,2,30,232
82,99,46,520,2,48,596
83,16,61,217,2,95,368
84,99,60,599,1,42,480
85,45,2,186,0,22,356
86,1,64,671,1,16,506
87,67,18,354,2,68,648
88,87,43,272,1,70,871
89,45,70,511,1,24,323
90,59,96,709,0,18,967
91,90,49,971,2,65,414
92,81,89,56,0,30,507
93,94,90,329,2,66,965
94,62,19,691,2,72,305
95,55,18,400,0,80,893
96,53,96,1000,0,20,423
97,36,9,678,0,30,407
98,13,21,5,0,90,974
99,18,75,839,2,39,862
100,99,43,806,1,36,318
101,13,35,569,2,56,667
102,2,62,305,2,62,863
103,8,75,338,0,89,872
104,11,1,567,0,8,400
105,15,14,142,1,51,438
106,72,15,292,1,98,632
107,1,93,46,1,97,243
108,13,73,109,0,27,361
109,51,68,335,1,18,457
110,78,23,87,0,86,462
111,92,49,85,0,83,162
112,13,47,424,1,23,174
113,27,29,917,1,83,773
114,62,42,915,1,63,665
115,55,45,477,2,88,344
116,22,50,234,2,21,274
117,28,26,653,2,48,271
118,44,25,557,2,28,938
119,1,83,458,0,49,581
120,27,91,621,2,82,780
121,17,68,330,1,93,632
122,12,29,694,1,87,803
123,84,49,661,0,76,249
124,43,46,816,1,54,511
125,12,66,7,1,30,818
126,31,16,656,1,72,330
127,25,94,563,0,94,853
128,24,88,795,1,50,478
129,22,64,356,0,86,863
130,43,8,79,0,55,712
131,30,21,197,0,22,439
132,82,49,544,2,42,407
133,68,2,398,0,93,756
134,11,21,463,0,48,671
135,80,2,393,2,88,380
136,72,40,472,0,54,717
137,43,28,279,0,17,494
