,PlatformName
0,PPUH Maszczyk
1,Loba Sp. z o.o. Sp.k.
2,Związek s.c.
3,Spółdzielnia Jany-Sulich Sp.j.
4,Jeżyna-Krasa Sp.j.
5,Kliber-Heba S.A.
6,Taciak-Szymula Sp. z o.o. Sp.k.
7,Piwek Sp. z o.o.
8,Stowarzyszenie Roczniak-Tarach Sp.j.
9,Bisaga-Twardzik Sp.j.
10,PPUH Bździuch i syn s.c.
11,Kielczyk s.c.
12,PPUH Osiadacz i syn s.c.
13,Grupa Suchenek-Berus Sp. z o.o.
14,Majtczak S.A.
15,Hamera-Maraszek i syn s.c.
16,Gabinety Grabias
17,FPUH Gramza Sp. z o.o.
18,Stowarzyszenie Pizoń-Fąferek i syn s.c.
19,Maruszczak-Banachowicz Sp. z o.o. Sp.k.
20,Fundacja Małż Sp. z o.o.
21,Korzonek s.c.
22,Kwak Sp. z o.o.
23,Stowarzyszenie Tekieli-Smolec Sp.k.
24,Spółdzielnia Mielke Sp.j.
25,PPUH Turlej-Laszuk Sp. z o.o.
26,Fundacja Lisoń Sp.j.
27,Gabinety Barczuk-Sołtan Sp. z o.o. Sp.k.
28,Klemczak-Fiedoruk s.c.
29,Dziugieł s.c.
30,PPUH Krauza-Tymczyszyn Sp.j.
31,Dyszy Sp. z o.o.
32,FPUH Wojewodzic-Domoń i syn s.c.
33,Fundacja Białasik S.A.
34,PPUH Staś
35,Grupa Kawula
36,Koziarz s.c.
37,Kwapis-Sacharczuk Sp. z o.o. Sp.k.
38,Spółdzielnia Bosek S.A.
39,Grupa Buk-Koss Sp.j.
40,Droździk-Samol s.c.
41,PPUH Sieczko
42,Siembab-Ligas Sp. z o.o.
43,Szafarz Sp.k.
44,PPUH Skwira
45,Kondej Sp. z o.o.
46,Piechura-Sztuczka Sp. z o.o.
47,FPUH Sobków Sp.j.
48,Tokarek-Zyzik s.c.
49,Spółdzielnia Kopyt Sp.j.
50,Stowarzyszenie Piskor s.c.
51,Spółdzielnia Sołtan
52,Gul-Rakus Sp. z o.o.
53,Spółdzielnia Kuzia S.A.
54,Gabinety Kuk-Glonek Sp.j.
55,Gabinety Grotek-Horbacz Sp. z o.o.
56,Kleina Sp. z o.o.
57,Stowarzyszenie Glonek
58,Protasiuk Sp. z o.o.
59,Fundacja Doktór
60,Spółdzielnia Wielądek i syn s.c.
61,FPUH Zapiór-Ptok Sp. z o.o. Sp.k.
62,Macioł Sp.j.
63,Wielgo-Solarek Sp. z o.o.
64,Chadaj-Engel Sp. z o.o. Sp.k.
65,PPUH Woda
66,Gabinety Sypień i syn s.c.
67,Fundacja Nogieć-Osiadacz i syn s.c.
68,Śleziak-Jędrys Sp.k.
69,Jarczak Sp.j.
70,Gabinety Spólnik-Rut i syn s.c.
71,PPUH Droździk
72,Goral Sp.k.
73,PPUH Kubiaczyk s.c.
74,Szajna-Jagieło S.A.
75,Fundacja Ciepła
76,Wlazły-Sito S.A.
77,FPUH Szumacher s.c.
78,Spółdzielnia Sapa s.c.
79,Midura-Dziuda Sp.j.
80,Sugier Sp.k.
81,Armatys-Bas s.c.
82,Gabinety Dorna
83,Graboś Sp.j.
84,Spółdzielnia Kinder Sp.j.
85,Spółdzielnia Siemieńczuk-Felisiak s.c.
86,Grupa Jeżyna
87,FPUH Czupryna
88,Borkowicz s.c.
89,Fundacja Kempny
90,Opoka s.c.
91,Szóstak s.c.
92,Stowarzyszenie Krüger i syn s.c.
93,Kajstura-Gruza Sp. z o.o.
94,Gumienna Sp.k.
95,Litwińczuk-Wilusz Sp.k.
96,Grupa Boguś
97,Spółdzielnia Wojewódka-Wyrwich Sp.j.
98,Kusik-Jasica S.A.
